screenid,name(optional)
aaf6c742-0a58-4a62-88c9-8b40d4e49e04,US News
617f0a0c-4fa3-474e-a457-48ba696d1ae1,US Tech
6baebf70-70fd-42fc-aa20-f526a3804b64,Golden State Warriors
75b8fba1-255d-4b0a-84e8-3a1abeed7e03,Geek
941aafd3-fa96-474a-8bfd-7ee63e826180,Stanford Events
af1e1d87-880f-4dd1-9606-fcd5ea2cf7d0,21st Century Woman
932f4321-8d05-4e1c-b0a5-ac97f06ed992,Art of Manliness
0372ae24-4af9-46ad-80d0-0a2426240c98,Campus Roll
5de004ce-7a84-4052-8cd6-b03eb20d0129,Cook-Off!
b92db3ea-55aa-42d0-aecb-777d2ad10fee,Cricket
4c81ed1d-89fb-43e6-9bd9-fd0baa52f9bf,Daily Fix
1a8f8703-a0f8-4a51-a921-2dbecef92f91,Feast!
40662022b-1d77-4df6-bf45-bc774dfd9c9d,Fun This Way
edf4d111-7bc7-4fa6-b086-bc1482c3a67f,Geekdom
135bef3f-87fa-4da0-a56c-592b50ecdb93,Good Times
b071dbbc-7856-435e-b0be-76c125868a23,Gossip!
e0a47414-a404-4040-9b00-63f2626fc2de,Home Decor
7eedfa9f-d68d-482e-8181-9fde56f29a89,Level Up!
9714d3ae-aaae-42b0-8a5b-5944bcbb6e32,Modern Dating
0c6f426f-eee3-4b17-8f45-2fc3fbd68b75,Movie Buff
17029e69-4a8f-4cae-9205-9c228115f5ab,People and Their Stories
cfcf9ee9-463e-4a7c-aa43-07f48a00aea4,Pop Psych!
ecf1ae5e-7324-445a-9ec3-0a91350a46c5,Pop Science!
3001451c-8bb6-4fb7-b459-5380f4b45fa1,Startup News
40573fd7-71d5-45c0-87af-f26f88d80236,The Great Political Drama
a16f99b6-25db-4be4-ae4a-8c013cbe3d27,The Know-It-All
421f1826-25c7-4703-90a6-70f349bc8011,Top News
df5f9e4d-df85-41a0-bda0-cb47b78a84c1,Travel Bug
7b2e7987-d62a-4eed-889d-be83d9e1dbbe,Women's Health
5dedf9d0-ddbf-4f1d-946d-2d7cef0e3e0c,Young Turks
d0e8efae-b6b5-4a51-a92e-0effa5acf383,Zen Mode
2b5380d9-5f32-42bc-8f70-6751171128ae,Marathi News
6f8d9a96-cefe-4e17-b1e6-f3b93ce51dc1,Hindi News
8ff688ed-7776-4d96-aca7-9e2a23afcee3,Gujarati News
f203ed35-2c49-4c45-ae82-dc92d2198ce7,Glamour
cfe1c705-7df4-4242-8f99-283868f4ed59,SO Funky!
4d1650ba-6afa-4567-9525-c869f812f249,Fit Fiddle
a85536ce-17d9-43fd-bce1-a5aaace718ea,Conscious Living
24beb90f-2a84-4e48-bbc8-bceab36107b8,High Flyer
d7d86e05-3e5a-4927-a626-510d6715e72b,Comedy Corner
5fff1a63-a762-4318-b70f-e66e0c736ce7,Budding Entrepreneur
21d78f01-7455-42ed-afa0-e65c5a11cd5c,Wedding Season
65c5ca9e-19b7-4eed-a99a-dbd3fbc31e59,Politics
0f88b38c-4b20-4082-9f4f-99ee64ef6fe1,Sneakers
bd56c6db-6966-40ef-bd93-b5952e67acb4,Tennis
e6f3b6d7-0d8b-46aa-9924-f56a102fda13,Football
2d581d45-60f8-4a5f-b858-cf6352f8c25f,Hockey
7f9b66ca-c165-4437-9080-92f42ad0df54,Fashion
f32023b4-6e1d-4e96-98ea-a900287a5f67,Streetwear
1daa21fa-1469-4f39-9b14-2256d423b0ad,Celebrity Gossip
7376cac5-6fc8-4906-8337-470eb6f31869,Baseball
500663c6-4520-4739-800d-cb369910268e,Soccer
84cb4851-7de6-4ab7-9bd0-abf4f360e119,Basketball
a362a2bc-cb49-4bf4-9124-46e1fbafb2a2,Travel
619a6cd5-96e7-4f6c-a617-24dca45f1774,Gear and Gadgets
1f4a8b95-5ef5-4289-9602-2d6d80b1e227,Hacker News
7f4e80e2-4f44-46dd-8d74-6e41876c1567,Wine
c7d8c89f-1eb6-4e40-bd39-83a151714b7c,Tech News
d57f19cc-3f7a-4c28-affd-222936ad7b70,Movie trailers and Reviews
fc685ff8-d225-4adb-a123-48f9d5a8aa5e,Magic Mystic
b9a0882e-d944-4f24-adec-e96da2084a4b,Study Circle
190f3916-6013-468b-8dce-460fa229cebb,Wolf of Wall Street
ac45dbfb-2953-488c-bcdd-622445411aae,Today Screen
ac6fa7ff-264e-4b17-8bb5-498ee1501b99,IPL Unlimited
